created_at,full_text,text_casefolded,text_clean,text_tokens,text_normalized,text_stopword,text_stemmed,sentimen,text_stemmed_str
2025-02-01 05:39:54+00:00,BBRI Mau Buyback Saham Dananya Triliunan #infosaham #investasi #bri https://t.co/qGdNzlazgD,bbri mau buyback saham dananya triliunan #infosaham #investasi #bri https://t.co/qgdnzlazgd,bbri mau buyback saham dananya triliunan,"['bbri', 'mau', 'buyback', 'saham', 'dananya', 'triliunan']","['bbri', 'mau', 'buyback', 'saham', 'dananya', 'triliunan']","['bbri', 'mau', 'buyback', 'saham', 'dananya', 'triliunan']","['bbri', 'mau', 'buyback', 'saham', 'dana', 'triliun']",positif,bbri mau buyback saham dana triliun
2025-02-01 06:12:32+00:00,#201: Nas1b Saham PerBANKan: ARTO BANK BBCA BBRI ARTO BBCA BBRI BNII ARTO BBCA BBRI BNII : portofolio warteg saham BY JO ot B ot C ot P: 30/01/2025: Rasio Total CUTE plus at Total CUTE minus tetap =+125 kali lipat: https://t.co/ptos9gslKi,#201: nas1b saham perbankan: arto bank bbca bbri arto bbca bbri bnii arto bbca bbri bnii : portofolio warteg saham by jo ot b ot c ot p: 30/01/2025: rasio total cute plus at total cute minus tetap =+125 kali lipat: https://t.co/ptos9gslki,nasb saham perbankan arto bank bbca bbri arto bbca bbri bnii arto bbca bbri bnii portofolio warteg saham by jo ot b ot c ot p rasio total cute plus at total cute minus tetap kali lipat,"['nasb', 'saham', 'perbankan', 'arto', 'bank', 'bbca', 'bbri', 'arto', 'bbca', 'bbri', 'bnii', 'arto', 'bbca', 'bbri', 'bnii', 'portofolio', 'warteg', 'saham', 'by', 'jo', 'ot', 'b', 'ot', 'c', 'ot', 'p', 'rasio', 'total', 'cute', 'plus', 'at', 'total', 'cute', 'minus', 'tetap', 'kali', 'lipat']","['nasb', 'saham', 'perbankan', 'arto', 'bank', 'bbca', 'bbri', 'arto', 'bbca', 'bbri', 'bnii', 'arto', 'bbca', 'bbri', 'bnii', 'portofolio', 'warteg', 'saham', 'by', 'jo', 'ot', 'b', 'ot', 'sih', 'ot', 'p', 'rasio', 'total', 'cute', 'plus', 'at', 'total', 'cute', 'minus', 'tetap', 'kali', 'lipat']","['nasb', 'saham', 'perbankan', 'arto', 'bank', 'bbca', 'bbri', 'arto', 'bbca', 'bbri', 'bnii', 'arto', 'bbca', 'bbri', 'bnii', 'portofolio', 'warteg', 'saham', 'by', 'jo', 'ot', 'b', 'ot', 'sih', 'ot', 'p', 'rasio', 'total', 'cute', 'plus', 'at', 'total', 'cute', 'minus', 'tetap', 'kali', 'lipat']","['nasb', 'saham', 'perban', 'arto', 'bank', 'bbca', 'bbri', 'arto', 'bbca', 'bbri', 'bnii', 'arto', 'bbca', 'bbri', 'bnii', 'portofolio', 'warteg', 'saham', 'by', 'jo', 'ot', 'b', 'ot', 'sih', 'ot', 'p', 'rasio', 'total', 'cute', 'plus', 'at', 'total', 'cute', 'minus', 'tetap', 'kali', 'lipat']",netral,nasb saham perban arto bank bbca bbri arto bbca bbri bnii arto bbca bbri bnii portofolio warteg saham by jo ot b ot sih ot p rasio total cute plus at total cute minus tetap kali lipat
2025-02-01 07:27:10+00:00,Gw kalau jadi direktur bri gw mungkin akan meningkatkan jumlah saham treasury bri kalau gw nyangkut di saham bbri dan ingin keluar secepat mungkin. apalagi saham treasury bbri di bawah 1 persen. https://t.co/haDOjNkwIb https://t.co/BXYCx7uvoO,gw kalau jadi direktur bri gw mungkin akan meningkatkan jumlah saham treasury bri kalau gw nyangkut di saham bbri dan ingin keluar secepat mungkin. apalagi saham treasury bbri di bawah 1 persen. https://t.co/hadojnkwib https://t.co/bxycx7uvoo,gw kalau jadi direktur bri gw mungkin akan meningkatkan jumlah saham treasury bri kalau gw nyangkut di saham bbri dan ingin keluar secepat mungkin apalagi saham treasury bbri di bawah persen,"['gw', 'kalau', 'jadi', 'direktur', 'bri', 'gw', 'mungkin', 'akan', 'meningkatkan', 'jumlah', 'saham', 'treasury', 'bri', 'kalau', 'gw', 'nyangkut', 'di', 'saham', 'bbri', 'dan', 'ingin', 'keluar', 'secepat', 'mungkin', 'apalagi', 'saham', 'treasury', 'bbri', 'di', 'bawah', 'persen']","['gue', 'kalau', 'jadi', 'direktur', 'bri', 'gue', 'mungkin', 'akan', 'meningkatkan', 'jumlah', 'saham', 'treasury', 'bri', 'kalau', 'gue', 'nyangkut', 'di', 'saham', 'bbri', 'dan', 'ingin', 'keluar', 'secepat', 'mungkin', 'apalagi', 'saham', 'treasury', 'bbri', 'di', 'bawah', 'persen']","['gue', 'kalau', 'jadi', 'direktur', 'bri', 'gue', 'mungkin', 'meningkatkan', 'jumlah', 'saham', 'treasury', 'bri', 'kalau', 'gue', 'nyangkut', 'saham', 'bbri', 'keluar', 'secepat', 'mungkin', 'saham', 'treasury', 'bbri', 'bawah', 'persen']","['gue', 'kalau', 'jadi', 'direktur', 'bri', 'gue', 'mungkin', 'tingkat', 'jumlah', 'saham', 'treasury', 'bri', 'kalau', 'gue', 'nyangkut', 'saham', 'bbri', 'keluar', 'cepat', 'mungkin', 'saham', 'treasury', 'bbri', 'bawah', 'persen']",negatif,gue kalau jadi direktur bri gue mungkin tingkat jumlah saham treasury bri kalau gue nyangkut saham bbri keluar cepat mungkin saham treasury bbri bawah persen
2025-02-01 07:42:21+00:00,@pepeng182 @investorgabut Saham boncos crypto cuan itu bener... Saya pegang BBRI setahun turun 20% n pegang BTC setahun naik 100%,@pepeng182 @investorgabut saham boncos crypto cuan itu bener... saya pegang bbri setahun turun 20% n pegang btc setahun naik 100%,saham boncos crypto cuan itu bener saya pegang bbri setahun turun n pegang btc setahun naik,"['saham', 'boncos', 'crypto', 'cuan', 'itu', 'bener', 'saya', 'pegang', 'bbri', 'setahun', 'turun', 'n', 'pegang', 'btc', 'setahun', 'naik']","['saham', 'boncos', 'crypto', 'cuan', 'itu', 'benar', 'saya', 'pegang', 'bbri', 'setahun', 'turun', 'n', 'pegang', 'btc', 'setahun', 'naik']","['saham', 'boncos', 'crypto', 'cuan', 'benar', 'pegang', 'bbri', 'setahun', 'turun', 'n', 'pegang', 'btc', 'setahun', 'naik']","['saham', 'boncos', 'crypto', 'cuan', 'benar', 'pegang', 'bbri', 'tahun', 'turun', 'n', 'pegang', 'btc', 'tahun', 'naik']",negatif,saham boncos crypto cuan benar pegang bbri tahun turun n pegang btc tahun naik
2025-02-01 07:59:11+00:00,Ramalan BBCA dan BBRI di 2025 Kok Beda Nasib? https://t.co/ruPQwsubGA via @InvestorID,ramalan bbca dan bbri di 2025 kok beda nasib? https://t.co/rupqwsubga via @investorid,ramalan bbca dan bbri di kok beda nasib via,"['ramalan', 'bbca', 'dan', 'bbri', 'di', 'kok', 'beda', 'nasib', 'via']","['ramalan', 'bbca', 'dan', 'bbri', 'di', 'kok', 'beda', 'nasib', 'via']","['ramalan', 'bbca', 'bbri', 'kok', 'beda', 'nasib', 'via']","['ramal', 'bbca', 'bbri', 'kok', 'beda', 'nasib', 'via']",netral,ramal bbca bbri kok beda nasib via
2025-02-01 09:30:03+00:00,Bank Rakyat Indonesia (BBRI) Siapkan Rp 3 Triliun Buyback Saham di 2025 https://t.co/jSp6m442OP #BankRakyatIndonesia,bank rakyat indonesia (bbri) siapkan rp 3 triliun buyback saham di 2025 https://t.co/jsp6m442op #bankrakyatindonesia,bank rakyat indonesia bbri siapkan rp triliun buyback saham di,"['bank', 'rakyat', 'indonesia', 'bbri', 'siapkan', 'rp', 'triliun', 'buyback', 'saham', 'di']","['bank', 'rakyat', 'indonesia', 'bbri', 'siapkan', 'rp', 'triliun', 'buyback', 'saham', 'di']","['bank', 'rakyat', 'indonesia', 'bbri', 'siapkan', 'rp', 'triliun', 'buyback', 'saham']","['bank', 'rakyat', 'indonesia', 'bbri', 'siap', 'rp', 'triliun', 'buyback', 'saham']",positif,bank rakyat indonesia bbri siap rp triliun buyback saham
2025-02-01 10:13:36+00:00,BBRI senin ARA wkwk https://t.co/tPWoXver4j,bbri senin ara wkwk https://t.co/tpwoxver4j,bbri senin ara wkwk,"['bbri', 'senin', 'ara', 'wkwk']","['bbri', 'senin', 'ara', 'wkwk']","['bbri', 'senin', 'ara', 'wkwk']","['bbri', 'senin', 'ara', 'wkwk']",netral,bbri senin ara wkwk
2025-02-01 10:28:40+00:00,BBRI Mau Buyback Saham Dananya Triliunan https://t.co/qGdNzlazgD via @InvestorID,bbri mau buyback saham dananya triliunan https://t.co/qgdnzlazgd via @investorid,bbri mau buyback saham dananya triliunan via,"['bbri', 'mau', 'buyback', 'saham', 'dananya', 'triliunan', 'via']","['bbri', 'mau', 'buyback', 'saham', 'dananya', 'triliunan', 'via']","['bbri', 'mau', 'buyback', 'saham', 'dananya', 'triliunan', 'via']","['bbri', 'mau', 'buyback', 'saham', 'dana', 'triliun', 'via']",netral,bbri mau buyback saham dana triliun via
2025-02-01 11:35:33+00:00,@nudnes saham bbri yang jeblok itu mayan 7% deviden,@nudnes saham bbri yang jeblok itu mayan 7% deviden,saham bbri yang jeblok itu mayan deviden,"['saham', 'bbri', 'yang', 'jeblok', 'itu', 'mayan', 'deviden']","['saham', 'bbri', 'yang', 'jeblok', 'itu', 'lumayan', 'deviden']","['saham', 'bbri', 'jeblok', 'lumayan', 'deviden']","['saham', 'bbri', 'jeblok', 'lumayan', 'deviden']",positif,saham bbri jeblok lumayan deviden
2025-02-01 11:36:02+00:00,@Saham_fess Ngebug ya ges kalo beneran senin bbri ara wkwk,@saham_fess ngebug ya ges kalo beneran senin bbri ara wkwk,ngebug ya ges kalo beneran senin bbri ara wkwk,"['ngebug', 'ya', 'ges', 'kalo', 'beneran', 'senin', 'bbri', 'ara', 'wkwk']","['ngebug', 'ya', 'ges', 'kalo', 'benaran', 'senin', 'bbri', 'ara', 'wkwk']","['ngebug', 'ges', 'kalo', 'benaran', 'senin', 'bbri', 'ara', 'wkwk']","['ngebug', 'ges', 'kalo', 'benar', 'senin', 'bbri', 'ara', 'wkwk']",netral,ngebug ges kalo benar senin bbri ara wkwk
2025-02-01 12:01:10+00:00,@robinhoodgrass bagi duidnya banggg ga banyk banyk 100 lot BBRI aja wkwkwk,@robinhoodgrass bagi duidnya banggg ga banyk banyk 100 lot bbri aja wkwkwk,bagi duidnya banggg ga banyk banyk lot bbri aja wkwkwk,"['bagi', 'duidnya', 'banggg', 'ga', 'banyk', 'banyk', 'lot', 'bbri', 'aja', 'wkwkwk']","['bagi', 'duidnya', 'banggg', 'enggak', 'banyk', 'banyk', 'lot', 'bbri', 'saja', 'wkwkwk']","['duidnya', 'banggg', 'enggak', 'banyk', 'banyk', 'lot', 'bbri', 'wkwkwk']","['duidnya', 'banggg', 'enggak', 'banyk', 'banyk', 'lot', 'bbri', 'wkwkwk']",netral,duidnya banggg enggak banyk banyk lot bbri wkwkwk
2025-02-01 13:29:10+00:00,@nudnes saham bbri kan bagi deviden tiap tahun persentase atau yieldnya itu per tahun 7%,@nudnes saham bbri kan bagi deviden tiap tahun persentase atau yieldnya itu per tahun 7%,saham bbri kan bagi deviden tiap tahun persentase atau yieldnya itu per tahun,"['saham', 'bbri', 'kan', 'bagi', 'deviden', 'tiap', 'tahun', 'persentase', 'atau', 'yieldnya', 'itu', 'per', 'tahun']","['saham', 'bbri', 'kan', 'bagi', 'deviden', 'tiap', 'tahun', 'persentase', 'atau', 'yieldnya', 'itu', 'per', 'tahun']","['saham', 'bbri', 'kan', 'deviden', 'tiap', 'tahun', 'persentase', 'yieldnya', 'per', 'tahun']","['saham', 'bbri', 'kan', 'deviden', 'tiap', 'tahun', 'persentase', 'yieldnya', 'per', 'tahun']",positif,saham bbri kan deviden tiap tahun persentase yieldnya per tahun
2025-02-01 18:33:49+00:00,@ariistf Stock pick gw 2 taon belakangan ini kan SIDO &amp; BBRI doang. Jelas dong jauh lebih cuan porto tradingnya,@ariistf stock pick gw 2 taon belakangan ini kan sido &amp; bbri doang. jelas dong jauh lebih cuan porto tradingnya,stock pick gw taon belakangan ini kan sido amp bbri doang jelas dong jauh lebih cuan porto tradingnya,"['stock', 'pick', 'gw', 'taon', 'belakangan', 'ini', 'kan', 'sido', 'amp', 'bbri', 'doang', 'jelas', 'dong', 'jauh', 'lebih', 'cuan', 'porto', 'tradingnya']","['stock', 'pick', 'gue', 'tahun', 'belakangan', 'ini', 'kan', 'sido', 'amp', 'bbri', 'doang', 'jelas', 'dong', 'jauh', 'lebih', 'cuan', 'porto', 'tradingnya']","['stock', 'pick', 'gue', 'tahun', 'belakangan', 'kan', 'sido', 'amp', 'bbri', 'doang', 'jelas', 'dong', 'jauh', 'lebih', 'cuan', 'porto', 'tradingnya']","['stock', 'pick', 'gue', 'tahun', 'belakang', 'kan', 'sido', 'amp', 'bbri', 'doang', 'jelas', 'dong', 'jauh', 'lebih', 'cuan', 'porto', 'tradingnya']",positif,stock pick gue tahun belakang kan sido amp bbri doang jelas dong jauh lebih cuan porto tradingnya
2025-02-02 01:11:40+00:00,Buat yg ahli saham saya ada sisa uang sekian juta kira2 saham apa yg profitable diantara saham berikut : BBRI BBCA BMRI Lain sebetulnya tujuan saya mau average down krn saham yg saya beli taun lalu kemahalan. Advise please !,buat yg ahli saham saya ada sisa uang sekian juta kira2 saham apa yg profitable diantara saham berikut : bbri bbca bmri lain sebetulnya tujuan saya mau average down krn saham yg saya beli taun lalu kemahalan. advise please !,buat yg ahli saham saya ada sisa uang sekian juta kira saham apa yg profitable diantara saham berikut bbri bbca bmri lain sebetulnya tujuan saya mau average down krn saham yg saya beli taun lalu kemahalan advise please,"['buat', 'yg', 'ahli', 'saham', 'saya', 'ada', 'sisa', 'uang', 'sekian', 'juta', 'kira', 'saham', 'apa', 'yg', 'profitable', 'diantara', 'saham', 'berikut', 'bbri', 'bbca', 'bmri', 'lain', 'sebetulnya', 'tujuan', 'saya', 'mau', 'average', 'down', 'krn', 'saham', 'yg', 'saya', 'beli', 'taun', 'lalu', 'kemahalan', 'advise', 'please']","['buat', 'yang', 'ahli', 'saham', 'saya', 'ada', 'sisa', 'uang', 'sekian', 'juta', 'kira', 'saham', 'apa', 'yang', 'profitable', 'diantara', 'saham', 'berikut', 'bbri', 'bbca', 'bmri', 'lain', 'sebetulnya', 'tujuan', 'saya', 'mau', 'average', 'down', 'karena', 'saham', 'yang', 'saya', 'beli', 'tahun', 'lalu', 'kemahalan', 'advise', 'please']","['buat', 'ahli', 'saham', 'sisa', 'uang', 'sekian', 'juta', 'kira', 'saham', 'apa', 'profitable', 'diantara', 'saham', 'berikut', 'bbri', 'bbca', 'bmri', 'tujuan', 'mau', 'average', 'down', 'saham', 'beli', 'tahun', 'lalu', 'kemahalan', 'advise', 'please']","['buat', 'ahli', 'saham', 'sisa', 'uang', 'sekian', 'juta', 'kira', 'saham', 'apa', 'profitable', 'antara', 'saham', 'ikut', 'bbri', 'bbca', 'bmri', 'tuju', 'mau', 'average', 'down', 'saham', 'beli', 'tahun', 'lalu', 'mahal', 'advise', 'please']",netral,buat ahli saham sisa uang sekian juta kira saham apa profitable antara saham ikut bbri bbca bmri tuju mau average down saham beli tahun lalu mahal advise please
2025-02-02 01:17:39+00:00,BERITA POPULER: Rekor Baru Harga Emas Antam (ANTM) hingga Ramalan BBCA dan BBRI https://t.co/JfAnkxSqgC via @InvestorID,berita populer: rekor baru harga emas antam (antm) hingga ramalan bbca dan bbri https://t.co/jfankxsqgc via @investorid,berita populer rekor baru harga emas antam antm hingga ramalan bbca dan bbri via,"['berita', 'populer', 'rekor', 'baru', 'harga', 'emas', 'antam', 'antm', 'hingga', 'ramalan', 'bbca', 'dan', 'bbri', 'via']","['berita', 'populer', 'rekor', 'baru', 'harga', 'emas', 'antam', 'antm', 'hingga', 'ramalan', 'bbca', 'dan', 'bbri', 'via']","['berita', 'populer', 'rekor', 'baru', 'harga', 'emas', 'antam', 'antm', 'hingga', 'ramalan', 'bbca', 'bbri', 'via']","['berita', 'populer', 'rekor', 'baru', 'harga', 'emas', 'antam', 'antm', 'hingga', 'ramal', 'bbca', 'bbri', 'via']",netral,berita populer rekor baru harga emas antam antm hingga ramal bbca bbri via
