text,actual_label,predicted_label,sentiment_score
trading idea februari bbri buy on weakness area beli cutloss break bawah break bawah potensi naik short term,positif,positif,0.8695464447980599
saham bank big caps koreksi bos bbri fokus jaga via,netral,netral,0.0
fundamental sama teknikal gangaruh sama bbri,negatif,negatif,-0.28655488836565435
imbas hampir umum kena semua sih korelasi prospek pasar saham kamu baca sini bbca bbri ratu,negatif,negatif,-0.4827782764849997
jangan keburu panik bbri tetap punya fundamental kokoh bisnis tetap kembang,positif,positif,0.9445882270657683
bongkar kasus saham bbri kemarin turun via,negatif,negatif,-0.653016503868121
hari naik saham bbri asing jual bbri lebih banyak beli hari level an jatuh bawah support tadi tenang,negatif,negatif,-0.5731034832782052
buat ahli saham sisa uang sekian juta kira saham apa profitable antara saham ikut bbri bbca bmri tuju mau average down saham beli tahun lalu mahal advise please,netral,negatif,-0.39847754655266043
gue benci banget sama danantara framing enggak se cmiiw bumn masuk top ihsg by mkt cap cuma bmri bbni tlkm and bbri enggak ada turun bawah hari ihsg akhir akhir turun salah perintah,negatif,negatif,-0.8347051600338333
tadi mau serok stock bbri cuma ngeringeri mental siap jadi kaya serok rdo bismillah mau coba naro bahana,negatif,positif,0.8234147552340756
bbri longsor parah bangsat,negatif,negatif,-0.638868359800916
bbri jebolll bawah sikaatt dong,positif,negatif,-0.25176228608499757
danantara bikin ihsg jeblok saham tlkm hingga bbri ambles,negatif,negatif,-0.5202809447304759
loh aku malah baru nyicil lot bbri,positif,negatif,-0.22676519330867312
bbri berita apa dividen cut kuat modal,netral,positif,0.4816363152721464
kalo kata holder bbri harga mandor mandor mah kuat,negatif,negatif,-0.48270579828957266
if youre not avgdowning bbca from this point youre ngmi basically bbri tiap gue cek app terus turun gue beli lot wkwkwk gamble lucu kalo jeblok orang gas sekali lucu,negatif,negatif,-0.6407575727080752
bri bbri siap rp t buyback,positif,positif,0.9563289588973984
kerja btps posisi ku jauh lebih baik banding ku nya turun ckpn cukup signifikan kondisi mirip bbri kata faktor event pilkada konfirmasi mampu buat daya beli masyarakat naik,positif,negatif,-0.49586614003683477
mantap kalau bbri ar kiri,netral,negatif,-0.44316549009250095
market update feb ihsg tutup kuat level dorong sektor uang properti investor asing catat net buy rp triliun bijak suku bunga tetap top gainers hari bbri tlkm bmri,positif,positif,0.9138814377082267
maksud lu lu punya reksadana obligasi isi saham bbri,netral,negatif,-0.31948727518151876
harga saham bbri terus turun valuasi makin tarik,positif,negatif,-0.7483463303399622
uang all bbri avg enggak niat trade sih memang murni ngincer yield nya an per tahun kalo tahun nyentuh kayak tahun kemrin auto gue jual wkw,netral,negatif,-0.6450729790328363
orang orang tuh enggak pernah ajar basic saham kasih saham dikit kira wah padahal lembar saham bbri cuma lembar arti juta mulai henti glorifikasi kasih saham bahkan enggak ngampe milik,negatif,negatif,-0.5453866715698226
aku pertama kali beli bbri star,positif,negatif,-0.18824941782748947
ihsg bakar asing pilih koleksi saham bris bbri,positif,negatif,-0.5686593181472213
analis beri saran buy saham bbri tengah sentimen buyback rp t,positif,positif,0.8432535823295549
bbri cetak laba rp triliun januari lewat tetap optimis pandemi trump n restrukturisasi ekonomi makro,positif,positif,0.7083333797935574
target bbri jangka panjang,netral,netral,0.0
siap siap pahlawan pahlawan saham bakal hype kata beli pakai time trading aci lah paling enggak buat alas,positif,negatif,-0.45637995208090665
gue sindir bbri dikit akun tiba jbjb sinis pas gue lik nyata pegawai marketingnya bri,negatif,negatif,-0.4988049172671423
orang orang tuh obses sama bbri,netral,negatif,-0.3305227851203883
investor siapsiap bbri mau buyback saham rp triliun,positif,positif,0.9133533661741676
besok danatara launching kirakira efek bbri bagaimana,netral,negatif,-0.330593046256976
weekly mesti mantul bbri,positif,negatif,-0.3291792050969087
bbca bbri diskon,positif,positif,0.4897076295081262
kwoakwoa nyangkut bbri fix tahun enggak bisa apa apa,negatif,negatif,-0.39713016069545753
sore buang bbri bbni bmri gede kamar gelap semiga akhir biar senen umum dana tara langsung naik,negatif,negatif,-0.5725774668279147
maaf jbjb kira kira bbri bukan support lanjut,netral,negatif,-0.5494428898267529
admr adro amrt arto asri bbca bbri blta bnii bren bumi byan cleo dssa elsa excl goto gpso hero imas indy jsmr kaef keju kija laju map midi pgeo sido tays tlkm unvr portofolio warteg saham by jo ot sih,netral,netral,0.0
bbri mau dibuyback banting dulu,negatif,negatif,-0.834652844138158
aksi corporation buyback saham bank himbara bbri bakal buyback saham nilai rp t bmri bakal buyback saham nilai rp t bbni bakal buyback saham awal rp sama jadi rp t kalian pilih mana buat koleksi wkwkwk,positif,positif,0.8658098375997737
cowonya buru top up bbri pas murah lumayan banding beli ip,positif,positif,0.5956526540534728
pilih,netral,negatif,-0.5497208057503368
bbri sesuai target semua,netral,netral,0.0
pantau bmri bbni bbri justru tingkat lumayan signifikan hari,positif,positif,0.5460970067563383
bikin harga saham bbri turun plus pak pres kasih statement trading saham judi,negatif,negatif,-0.5572371241554879
bbri makin turun peluang ancam via,netral,negatif,-0.8359131228419803
gede begini potensi dividen bbri via,positif,positif,0.6023706735815015
cl bbri enggak sih,netral,negatif,-0.8098746469225748
sahamsaham sektor uang tunjuk performa positif putus bi tahan suku bunga bbri bmri masingmasing naik sektor properti alami rebound dorong sentimen pasar stabil,positif,positif,0.9053512909996967
fundamental is dead bbri buagus banget ancuran,negatif,negatif,-0.8008937053107001
gue sesal sell kemarin pas koreksi pengin masuk pas takuk makin dalem akhir pel perban bnga bmri sama bbri,positif,negatif,-0.8740176750746044
saham bbri potensi bentuk pattern double bottom konfirmasi breakout channel,positif,negatif,-0.3309040688426119
saham bbri jeblok bbca sih lebih aman,negatif,negatif,-0.3799871937838246
bbri berapa via,netral,netral,0.0
tunggu bbri lebih murah goreng baru masuk,positif,negatif,-0.21382862216832269
bbri bmri bbca,netral,netral,0.0
jangan mudah pengaruh fundamental bbri tetap solid tengah bagai isu,positif,positif,0.7481111886869137
tabung nikah tahun mayoritas bbri harga beli ananjeng anjeng,negatif,negatif,-0.7818782766237444
iseng mantengin running trade kok bbri bbni bbca tebal banget belanja lot jumbo mantap sektor bank,positif,positif,0.4970824491760329
ekonomi anjlok banget gambling banget mau dibelanjain logam mulia tunggu serok bbri anjlok under,negatif,negatif,-0.6943807801910348
kontribusi sahamsaham bren dcii bbri jadi dorong utama kuat ihsg,positif,positif,0.53227401739746
bri bbri cetak laba rp t panjang,positif,positif,0.8497820313673283
bingung banget makin hari makin terjun padahal mau plan lm nyangkut bbri sama bnga,negatif,negatif,-0.9767226657137358
bbri memang tahi kayak saham goreng,negatif,negatif,-0.880734135836076
fundamental bbri uji jangan makan isu cek lapor uang tetap stabil,positif,positif,0.9062421540660792
bmri bbri bbni erti akar masalah danantara jangan ikut panik,netral,negatif,-0.4562582603896511
bbri tuju cuk,netral,netral,0.0
gue rencana mau beli bbri jadi mikir kan kata dividen setor danantara entar lah kalo dividen buat investor bagaimana dong kurang tetap kalo enggak dividen invest bank himbara jadi enggak tarik soal,netral,positif,0.7092293003851148
lihat tadi kalau saham bbca bbri sama saham biasa nilai pasar tinggi malah meeosot jauh,negatif,negatif,-0.34059156003747565
sektor uang tunjuk performa positif putus bi tahan suku bunga bbri bmri catat naik signifikan investor asing agresif laku beli tanda percaya tingkat pasar saham indonesia,positif,positif,0.9623961497073805
fundamental bbri solid banget jangan gampang percaya isu negatif bisnis tumbuh pesat,positif,positif,0.8834930203981132
banyak nakutnakutin soal bbri data enggak bohong fundamental tetap solid,positif,positif,0.956611984476076
saat avg down bbri,negatif,negatif,-0.5350411877529669
cl enggak kak aku minus banyak bbri,negatif,negatif,-0.5993531917369382
bbkp cut bang lai tinggal avg down kalo modal bbca bbri cicil tiap bulan unv biar wkwk,positif,negatif,-0.3947588617008531
bbri kalo jebol mending jual terigu kocak,negatif,negatif,-0.884060607639745
aku uang juta mending beli shm bbri st mau beli saham takut turun harga mau beli obligasi nyata kecil bunga,netral,negatif,-0.3864708456013569
support bbri tembus gessss wahhhh jadi nih bahaya sekali analisa dukun pak kc,negatif,negatif,-0.6074379797126254
sempat heran lewat mulu nyata ads bbri pasang ads merah banget kok wkwkwkk,negatif,negatif,-0.6665100047023311
saham haram nder kalo bbri fatwa nya cabut,negatif,negatif,-0.6248662555609353
bbri minus berapa bro,negatif,negatif,-0.7503298890520295
good time lepas saham bbri totally cabut bumn,negatif,negatif,-0.5712519748278554
data amp wifi benerbener selamat porto jantung enggak aman hantam mulu sama pan bbri,negatif,negatif,-0.34739566042172343
yakan lembar lot tanya nya simple beli bawah lembar pasar regulermarket saham enggak bisa jadi lot memang itungannya dikit imingan lembar saham bbri jadi kesan wah,negatif,netral,0.0
bagaimana view bijak trump,netral,negatif,-0.2777413879008486
ihsg go bbri go wkkwkwk,netral,negatif,-0.42414672642249285
enggak beli baju dulu ygy soal bbri gue rungkad,negatif,negatif,-0.7165437299920054
sok sentimen negatif danantara enggak bakal ngaruh apa apa saham bumn kayak bmri bbri bbni even mungkin tlkm basically ihsg tumbang posisi harga deh diskon strong buy cukong enggak bisa dicounter sama gera tarik uang masal bank bumn sbnrnya gue dukung,negatif,negatif,-0.2753442074619291
asing balik arah serok bbri harga bakal begini via,positif,positif,0.5870626522359024
bbri apakahh terjun payung bawah,netral,negatif,-0.8238316274599629
bilang selamatin saham bmri bbri lebih penting selamat saham bumn kan,negatif,negatif,-0.2864145727205423
saham bri paling buru alas meski pasar sedang gejolak,positif,positif,0.5648241124496386
laba naik tipis bocor dividen saham bbri,netral,positif,0.7081445829363983
gapegang bbri banyak cuma wns dulu makro ekonomi gabagus prepare cash sikon bottom jangan tambah muat,negatif,negatif,-0.7926417826647462
bbri ku selamat harga meski minus,positif,negatif,-0.8499441847095369
siapa hold bbri,netral,netral,0.0
bbri bmri biar merah penting ijo porto wifi harga,negatif,negatif,-0.776193706407129
gajadi jual terigu nih bbri close tudey sent kali,positif,negatif,-0.5107439524515573
bbri mau buy back hasil bbri turun terus jangan percaya sama omong emiten,negatif,negatif,-0.6173655375586534
bbri avg enggak berani lihat market dulu,netral,negatif,-0.7407329981472421
apa tarik bbri nya ganti bluechip,negatif,netral,0.0
saham indonesia mau bluechip sekalipun turun banget coba lihat bbri tahun turun berapa persen lama orang kapok investasi saham bei,negatif,negatif,-0.773998633226889
gilir bos bbca bbri beri komentar via,netral,netral,0.0
alah jemboddd bbri ku mes cokk,negatif,negatif,-0.9286802429889965
apa biasa gue cuan luber bmri bbri awal tahun malah darah weekly chart ihsg jelek noh,negatif,negatif,-0.6578094157430513
dirut bri bbri sunarso sebut bahaya panas global pamer realisasi kredit lanjut,netral,negatif,-0.21504084143860525
kejut inflasi as naik mom inflasi tahun naik pasar guncang,negatif,positif,0.8132044958496616
percaya bakal naik enggak lama bbri mah,positif,positif,0.9010327955021445
awow bbri,netral,netral,0.0
prospek saham bank bbri bbni rencana buyback saham,positif,positif,0.8788770038166758
bbri diskon,positif,positif,0.8111154126637499
ihsg technical view ihsg kemarin tutup lemah level serta net sell asing t all market saham paling banyak jual asing bbca bmri amrt bbri eraa,negatif,negatif,-0.924204986720622
bentar dulu beli harga berapa saham bbri wkkwkwk,netral,negatif,-0.507655416352787
maaf tarik diri saham bbri dulu,negatif,negatif,-0.2546682095542367
bbri buyback rp triliun bbri buyback saham nila rp triliun program kuat harga saham amp tingkat eps buyback langsung maret maret saat cuan,positif,positif,0.8601120226471596
danantara mulai rame dengar gaung bulan november jujur degan haha takut bbri sama ptba enggak dividen terus kalo jepang cuma bni datang kantor jadi wni kayak enggak hari waswas,netral,negatif,-0.4835262838585419
bbri bakal ngedrop enggak,negatif,negatif,-0.49907681676478804
mah cutloss jamaah nih bbri wkwkkw,negatif,negatif,-0.5605118213838185
pasar saham indonesia tunjuk gera positif investor asing catat net buy signifikan turun suku bunga bi sektor uang jadi dorong utama sahamsaham bbri bmri alami naik substansial,positif,positif,0.9741227924882006
shm bumn pertama masuk danantara bbri bbni bmri tlkm mind ptba antm tins inco pln pertamina bursa tarik serok guys,netral,netral,0.0
bbri umum rencana buyback saham nila rp triliun rencana bahas rupst maret kira periode buyback maret maret buka informasi,positif,positif,0.7070772026138211
kiri pusing pikir kapan eth kanan pusing pikir kapan bbri choose your side kalian tim kanan kiri sc algo research,netral,negatif,-0.5976057173508226
gue wkwkw lihat bbri guweh,netral,negatif,-0.9073493627758783
saham bbri kapan rebound gila sih ihsg parah banget hari,negatif,negatif,-0.8463939811853608
gapapa hold bang ihsg memang trend turun bbri serok,positif,negatif,-0.4391117378617117
admr adro amrt arto asri bbca bbri blta bnii bren bumi byan cleo dssa elsa excl goto gpso hero imas indy jsmr kaef keju kija laju map midi pgeo sido tays tlkm unvr,netral,netral,0.0
sunarso benar tahu saham bbri mainin sama asing sunarso apa,negatif,negatif,-0.31764674664587966
bbri r lu,netral,negatif,-0.4502408360975681
bbri rebound enggak sih ambles supportnya mulu asa aowkwk,negatif,negatif,-0.6150625102165896
bbri merah,negatif,negatif,-0.8444149624190119
ira bbri enggak bakal lebih turun perak awkwkwk mantap banget asli,negatif,negatif,-0.8903088420250934
kalo hari paksu pulang bawa emosi maklum mungkin porto merah bara,negatif,negatif,-0.6070846085207822
makin rontok bbri,negatif,negatif,-0.6737803018056797
kak better hold apa lepas nih bbri makin terjun bebas,negatif,negatif,-0.25014520874848223
bbri sama bbca bakal terjun bebas,negatif,negatif,-0.3831266200870177
bbri bbca,netral,netral,0.0
hancur semenjak bbri jadi enggak asa sekarang,negatif,negatif,-0.7160836887785282
bang saham kayak bbca bbri bmri kan,netral,netral,0.0
bbri menyalaaa,positif,negatif,-0.5852522235541957
saham bbri tetap tarik bisnis kembang laba terus naik fundamental tetap top,positif,positif,0.9752997232174256
bbri kynya doble bottom beberapa fund besar mulai masuk moga tahan,positif,negatif,-0.21904203030262878
makan jangan pernah beli emiten bbri bbni bmri kalo bbtn tunggu kolaps kredit macet gunung saran tarik uwang mu bank himbara segera sesal,negatif,negatif,-0.3917167683202077
bbri bawah,negatif,negatif,-0.3958951304571972
bbri mau buyback saham dana triliun,positif,positif,0.7230144055611604
empat bank kapital jumbo lapor kerja panjang pt bank rakyat indonesia tbk bbri tempat posisi pertama bank milik laba konsolidasi paling besar besar rp triliun baca lengkap,positif,positif,0.7902274831765421
update kerja emiten fy bbca laba rp triliun bbri laba rp triliun,positif,positif,0.7706093607204767
waktu tepat beli saham perban bulan bulan bbri bmri bbni tengah khawatir investor perihal danantara,positif,negatif,-0.635384248641789
aku nawar agro rejek mulu nawar bbri malah aplikasi langsung hilang signal,negatif,negatif,-0.5594442461647339
kok youw rasio total cute plus at total cute minus naik kali kali lipat pws by jo ot p adro amrt antm apln arto asi bank bbca bbri bumi cleo cpin dssa excl jsmr keju myor pgas sido tlkm wika,netral,netral,0.0
masuk,netral,netral,0.0
aksi buyback saham bank himbara bbri bank bri buyback saham nila rp triliun bmri bank mandiri buyback saham nila rp triliun bbni bank bni awal rencana buyback rp sama naik jadi rp triliun,positif,positif,0.9222670366006683
stop bandar main bbri,negatif,negatif,-0.44921387772156246
bbri jatuh malah nyungsep hari,negatif,negatif,-0.933783946423589
warga bbri cuma doa sama segera hijau,negatif,negatif,-0.4485825087054663
saham hubung danantara berdarahdarah bayang hari bbri bmri tlkm turun besar investor asing punya persepsi buruk danantara shg kabur beberapa bulan lalu semenjak wacana danantara,negatif,negatif,-0.69803106834802
konsisten longsor bbri amp tlkm kadang rasa mau evakuasi benam,negatif,netral,0.0
tanda serok bbri price book value alias deh murah banget,positif,negatif,-0.4342943394687685
bbni bbri ca mau buyback saham yakali lu beli saham mau harga tinggi benci dungu jangan lah lae jangan lah kau tebar bodoh sendiri,negatif,negatif,-0.4967019513389946
loh nder kok tuh bbri duluan,netral,negatif,-0.4116857120351653
bbri nderrr,netral,netral,0.0
sesialsialnya kalian lebih sial masuk bbri tahun lalu,negatif,negatif,-0.4719816811873524
kemarin tlkm hari bbri investor hilang trust satu per satu mulai lepas lembar saham milik,negatif,negatif,-0.3275164607853218
bbri pantau hari mengadakn house training legal strategies for managing negative content on social media regarding bri group hello,netral,positif,0.48162264637872276
minus bbri yasalam awkwk,negatif,negatif,-0.8506071609119047
semua mulai outflow bbri jp morgan mulai downgradein saham otomatis mentrigger fund etf ikut jual mulai september,negatif,negatif,-0.5831839008000027
kerja bbri ku lebih baik banding ku lihat dasar turun ckpn posisi ku nya turun banding posisi ku nya,positif,negatif,-0.7557280855248342
ihsg jeblok banking sector nya indonesia jeblok bbca bmri bbri ambles sekarang banking sector cermin kondisi ekonomi suatu negara tanda nya ekonomi indonesia enggak bagus rupiah lemah usd level,negatif,negatif,-0.767850339556581
tanya sama grok nyata saham bbri rontok black rock lepas saham bbri,negatif,netral,0.0
bajingannn bbri,negatif,netral,0.0
banyak coba bikin takut pegang saham bbri nyata bisnis tetap tumbuh,positif,positif,0.806628223005185
bbri lepas support gaes wkwkwkkw semangat holder bbri masuk,negatif,negatif,-0.46779728255349645
bbri ku,netral,negatif,-0.7903066906979785
ekonomi stabil saham bbri ribu,netral,netral,0.0
bbri target kredit umkm tumbuh kredit umkm bbri capai rp t bank optimistis tetap tumbuh stabil tahun depan sinyal positif investor,positif,positif,0.8142065553307536
sangat tarik lihat zp akumulasi bbri dekat pbv per minimal nya level tarik perhati pbv min low jadi an max nya risk reward jauh bbri ratio ttm last lk ku pe pbv pas npm,positif,negatif,-0.36003605704487096
heboh seru tarik dana bank respons bri bbri,negatif,positif,0.5430997683250882
mending bbri nya bikin biru biar uptrend saham,positif,negatif,-0.4475814215819383
pengaruh pasar modal bumn alih danantara pertamina pln bbri bbni bmri tlkm mind id muliaman hadad jadi kepala bpi danantara potensi ganti ada syarat batas usia,netral,netral,0.0
gila bbri open turun,negatif,negatif,-0.9781275938439782
bbri otw serokk,positif,negatif,-0.4356421419651145
huhu kak padahal bbri naik bakalanya untung kok,positif,negatif,-0.3373777064028533
ha ha hapasti lebiuh kaget kalo lihat topang ihsg biasa perkasa kini kapar tak daya bbri contoh makin tak daya asing kabur tinggal,negatif,negatif,-0.5977262243323814
strategi bri bbri jaga tumbuh bisnis tengah ketidakpastian global,netral,positif,0.6775762373811356
saham bbri lembar lot harga pas beli kisar an lah arti asih idr juta an sekarang arti floating loss sisa juta jangan lupa averaging down,negatif,negatif,-0.4348220404368895
jangan lupa borong bbri min,positif,negatif,-0.539369141397332
tahun maju cuan by jo desember sd februari ades amrt asi bbca bbri bnii bren byan dssa kija map mtel ihsg ancurcrashkrisis tunai portofolio warteg saham by jo ot b kali lipat at,netral,netral,0.0
bbri borong kata gin via,positif,netral,0.0
bbri punya track record luar biasa jangan takut sama spekulasi cek data uang tetap kokoh,positif,positif,0.6353832808330415
pantau saham bbni bbri bmri tlkm hari,netral,netral,0.0
maaf kak bbri merosottttttt sedih,negatif,negatif,-0.2941780262817188
nice choice bbri memang koreksi besar panen years later,positif,negatif,-0.5837672381804246
orang tolol banget bbri,negatif,negatif,-0.7595325348552064
sahamsaham sektor uang tunjuk performa positif bank indonesia tahan suku bunga bbri bmri masingmasing naik investor asing catat net buy besar rp triliun tanda percaya pasar mulai pulih,positif,positif,0.9755369631735102
intip dividen bumn masuk danantara bri bbri besar,positif,positif,0.5409860433003014
saham bbri enggak goyah cuma garagara konten negatif fundamental tetap solid bisnis tetap maju,positif,positif,0.9559779643644929
rakyat beli saham bbri bbni bmri kapan beli saham murah untung diveden rp lembar bro lo beli juta lembar lo untung juta tahun cuma duduk santai rumah,positif,negatif,-0.2767291567108974
ihsg hari buka kuat tengah sentimen positif aksi net buy asing capai rp triliun sektor energi uang tunjuk performa solid bbri tlkm masingmasing naik,positif,positif,0.9555555944260579
ihsg hari tunjuk gera positif net buy asing capai rp triliun dorong turun suku bunga bi sektor uang jadi dorong utama bbri bmri masingmasing naik,positif,positif,0.9382490307944709
simpan bmri bbri mending buru ngungsi bbca,negatif,negatif,-0.2754707034271101
cicil beli bbri entar sore tanggal kan msci tambah,positif,negatif,-0.24717227238463185
msci bbca bbri bmri tlkm asi bbni ammn adro amrt goto tpia cpin indf klbf icbp brpt untr,netral,netral,0.0
berita kini tunjuk ihsg alami kuat periode jual bersih investor asing sektor uang pimpin sahamsaham bbri bmri catat naik signifikan,positif,positif,0.9448212875237765
bbca sama bbri gue terjun bebas asu asu,negatif,negatif,-0.648073798692817
lama enggak buka stockbit makin surem bbri,negatif,negatif,-0.7616825023118367
bbca bbri naik turun malah via,positif,negatif,-0.5648708773714242
nyala bbri ku,positif,positif,0.8907487296911619
shock buka bbri minus,negatif,negatif,-0.7600197687751581
